Symbol,LTP,% Change,Open,High,Low,Qty.,link,Sector,Shares Outstanding,Market Price,Last Traded On,52 Weeks High - Low,180 Day Average,120 Day Average,1 Year Yield,EPS,P/E Ratio,Book Value,PBV,% Dividend,#,% Bonus,Right Share,30-Day Avg Volume,Market Capitalization
ACLBSL,612.0,0.41,620.0,605.0,620.0,443.0,/CompanyDetail.aspx?symbol=ACLBSL,Microfinance,3671434.09,612.0,2024/03/07 02:58:15,716.30-500.10,570.47,583.31,-2.87,6.8,90.0,144.39,4.24,,#ValueFiscal Year,,,1837.0,2246917663.08
ADBL,228.1,-0.09,229.9,226.1,229.0,23094.0,/CompanyDetail.aspx?symbol=ADBL,Commercial Banks,134516740.8,228.1,2024/03/07 02:59:18,307.70-223.00,245.84,241.45,-21.62,15.3,14.91,220.0,1.04,,#ValueFiscal Year1.(FY: 071-072),2.00(FY:078-079),,21305.0,30683268576.48
AHL,439.0,1.81,461.0,426.0,435.0,8151.0,/CompanyDetail.aspx?symbol=AHL,Hydro Power,3400000.0,439.0,2024/03/07 02:59:58,504.00-273.10,378.79,399.52,0.0,-13.5,-32.52,105.61,4.16,,#ValueFiscal Year,,,16144.0,1492600000.0
AHPC,186.8,0.54,193.0,186.0,188.0,40752.0,/CompanyDetail.aspx?symbol=AHPC,Hydro Power,37359252.0,186.8,2024/03/07 02:59:54,316.00-176.00,219.57,221.79,-36.25,1.25,149.44,102.21,1.83,,#ValueFiscal Year1.1:1(FY: 080-081)2.(FY: 074-075)3.1:1(FY: 069-070),8.00(FY:078-079),1:1(FY:080-081),59869.0,6978708273.6
AKJCL,226.0,2.03,234.6,225.0,225.0,48807.0,/CompanyDetail.aspx?symbol=AKJCL,Hydro Power,8000000.0,226.0,2024/03/07 02:59:50,250.00-141.30,187.04,201.4,2.26,3.81,59.32,71.02,3.18,,#ValueFiscal Year,,,68118.0,1808000000.0
AKPL,184.8,1.48,189.0,182.1,182.1,58876.0,/CompanyDetail.aspx?symbol=AKPL,Hydro Power,40814631.0,184.8,2024/03/07 02:59:58,422.00-152.40,182.78,184.01,-53.25,-15.65,-11.81,95.55,1.93,0.53(FY:078-079),#ValueFiscal Year1.1:1(FY: 080-081),,1:1(FY:),110065.0,7542543808.8
ALBSL,642.0,-0.93,658.0,637.0,640.0,1111.0,/CompanyDetail.aspx?symbol=ALBSL,Microfinance,6416160.0,642.0,2024/03/07 02:59:25,903.10-543.00,673.16,667.78,-23.21,-16.47,-38.98,140.84,4.56,,#ValueFiscal Year,14.29(FY:078-079),,2481.0,4119174720.0
ALICL,556.9,0.16,564.5,550.0,564.5,20900.0,/CompanyDetail.aspx?symbol=ALICL,Life Insurance,33998363.1,556.9,2024/03/07 02:59:58,812.00-517.50,648.39,646.33,-10.18,0.0,0.0,111.1,5.01,0.41(FY:079-080),#ValueFiscal Year1.1:0.6(FY: 075-076)2.2:1(FY: 074-075)3.(FY: 072-073),7.75(FY:079-080),1:0.6(FY:075-076),36866.0,18933688410.39
ALICLP,308.0,0.0,308.0,308.0,308.0,25000.0,/CompanyDetail.aspx?symbol=ALICLP,Promotor Share,,308.0,2024/03/07 12:57:03,382.00-308.00,322.25,322.25,-9.44,0.0,0.0,0.0,308.0,1.50(FY:070-071),#ValueFiscal Year,8.29(FY:068-069),,41666.0,0.0
ANLB,1867.2,-1.98,1943.0,1867.2,1943.0,200.0,/CompanyDetail.aspx?symbol=ANLB,Microfinance,685718.0,1867.2,2024/03/07 02:59:39,"2,651.00-403.80",1831.33,1784.55,0.0,34.48,54.15,389.8,4.79,,#ValueFiscal Year,10.00(FY:079-080),,955.0,1280372649.6
API,187.0,-0.27,193.0,186.3,191.0,103854.0,/CompanyDetail.aspx?symbol=API,Hydro Power,57865979.12,187.0,2024/03/07 02:59:59,269.00-154.70,182.16,184.37,-25.47,0.07,2671.43,103.31,1.81,,#ValueFiscal Year1.1:0.40(FY: 080-081)2.1:0.393632926(FY: 078-079)3.1:0.2938(FY: 077-078)4.1:0.47619047619(FY: 076-077),7.50(FY:078-079),1:0.40(FY:080-081),156966.0,10820938095.44
AVYAN,587.1,-0.66,602.7,585.2,602.7,2212.0,/CompanyDetail.aspx?symbol=AVYAN,Microfinance,2500000.0,587.1,2024/03/07 02:59:56,807.80-549.00,611.86,606.23,-3.12,-49.97,-11.75,74.62,7.87,,#ValueFiscal Year,,,2642.0,1467750000.0
BARUN,253.8,1.12,256.0,249.6,255.0,38462.0,/CompanyDetail.aspx?symbol=BARUN,Hydro Power,5358150.0,253.8,2024/03/07 02:59:58,299.00-191.10,237.31,243.54,-2.01,-13.94,-18.21,104.2,2.44,0.26(FY:076-077),#ValueFiscal Year1.1:1(FY: 079-080)2.(FY: 073-074)3.(FY: 072-073),5.00(FY:076-077),1:1(FY:079-080),42656.0,1359898470.0
BBC,3979.8,0.98,3989.9,3786.0,3900.0,985.0,/CompanyDetail.aspx?symbol=BBC,Tradings,500000.0,3979.8,2024/03/07 02:56:01,"4,539.00-3,050.00",3751.8,3778.28,20.6,250.25,15.9,1685.32,2.36,,#ValueFiscal Year,,,777.0,1989900000.0
BEDC,360.0,0.0,370.0,357.0,366.0,18190.0,/CompanyDetail.aspx?symbol=BEDC,Hydro Power,5440534.0,360.0,2024/03/07 02:59:57,412.90-170.00,276.31,305.31,0.0,-4.21,-85.51,60.14,5.99,,#ValueFiscal Year,,,28240.0,1958592240.0
BFC,334.0,1.83,335.0,328.0,334.5,15381.0,/CompanyDetail.aspx?symbol=BFC,Finance,8548167.79,334.0,2024/03/07 02:59:50,377.00-284.00,315.55,320.68,3.73,2.54,131.5,135.83,2.46,,#ValueFiscal Year1.1:0.25(FY: 074-075)2.(FY: 072-073),20.00(FY:067-068),1:0.25(FY:074-075),24202.0,2855088041.86
BGWT,575.0,1.59,580.0,566.0,566.0,5456.0,/CompanyDetail.aspx?symbol=BGWT,Hydro Power,5720647.0,575.0,2024/03/07 02:59:17,710.00-352.00,513.14,537.73,0.0,13.2,43.56,119.92,4.79,10.53(FY:079-080),#ValueFiscal Year,,,11698.0,3289372025.0
BHDC,463.0,1.98,464.1,445.4,463.0,11571.0,/CompanyDetail.aspx?symbol=BHDC,Hydro Power,10500000.0,463.0,2024/03/07 02:58:56,523.00-286.50,400.32,428.77,14.32,16.75,27.64,116.84,3.96,5.26(FY:079-080),#ValueFiscal Year,5.00(FY:078-079),,10911.0,4861500000.0
BHL,364.0,4.3,364.0,343.2,352.4,21416.0,/CompanyDetail.aspx?symbol=BHL,Hydro Power,18279700.0,364.0,2024/03/07 02:59:58,394.00-192.70,266.73,288.67,8.66,-18.3,-19.89,67.01,5.43,,#ValueFiscal Year,,,41070.0,6653810800.0
